latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-7.42157,138.64865,325.51,1.41,1.17,2021-10-28,0122,T,80,6.1NRT,294.95,30.8,D
-8.00415,142.84804,308.82,3.02,1.65,2021-10-28,0122,T,0,6.1NRT,292.1,27.18,D
-8.05589,139.33733,325.53,1.61,1.25,2021-10-28,0122,T,80,6.1NRT,297.41,32.35,D
-8.05787,139.35181,320.76,1.61,1.25,2021-10-28,0122,T,75,6.1NRT,298.07,21.88,D
-8.06908,139.35031,317.75,1.61,1.25,2021-10-28,0122,T,71,6.1NRT,297.41,15.89,D
-8.55737,141.41959,312.74,2.37,1.49,2021-10-28,0122,T,44,6.1NRT,293.96,16.49,D
-8.56024,141.44098,313.12,2.38,1.49,2021-10-28,0122,T,45,6.1NRT,294.48,18.51,D
-8.98425,125.16999,318.45,3.68,1.8,2021-10-28,0122,T,42,6.1NRT,297.23,50.63,D
-11.57074,142.20625,328.24,3.03,1.66,2021-10-28,0122,T,70,6.1NRT,296.66,81.19,D
-11.57413,142.23375,333.39,3.05,1.66,2021-10-28,0122,T,84,6.1NRT,298.95,116.52,D
-11.57026,142.20067,320.52,3.03,1.66,2021-10-28,0122,T,13,6.1NRT,295.84,40.09,D
-11.57345,142.22818,336.1,3.05,1.66,2021-10-28,0122,T,87,6.1NRT,299.07,136.25,D
-10.97766,132.82838,313.71,1.04,1.02,2021-10-28,0122,T,52,6.1NRT,300.92,7.33,D
-12.60388,142.12552,323.31,3.09,1.67,2021-10-28,0122,T,55,6.1NRT,298.77,51.13,D
-12.62222,142.15189,321.55,3.11,1.67,2021-10-28,0122,T,27,6.1NRT,299.68,43.86,D
-12.62062,142.14684,324.48,3.11,1.67,2021-10-28,0122,T,42,6.1NRT,299.64,58.47,D
-11.34305,132.13762,325.67,1.09,1.04,2021-10-28,0122,T,0,6.1NRT,302.75,9.72,D
-11.31499,131.16159,330.51,1.22,1.1,2021-10-28,0122,T,55,6.1NRT,299.57,18.88,D
-11.31547,131.15543,325.14,1.22,1.1,2021-10-28,0122,T,48,6.1NRT,299.37,12.08,D
-11.31723,131.16646,324.42,1.22,1.1,2021-10-28,0122,T,35,6.1NRT,299.75,10.63,D
-11.66229,133.09259,336.69,1.02,1.01,2021-10-28,0122,T,82,6.1NRT,305.32,20.85,D
-11.66368,133.10185,328.41,1.02,1.01,2021-10-28,0122,T,66,6.1NRT,305.06,9.07,D
-11.67273,133.10049,336.14,1.02,1.01,2021-10-28,0122,T,82,6.1NRT,304.97,18.95,D
-12.16288,136.36601,345.37,1.17,1.08,2021-10-28,0122,T,93,6.1NRT,310.65,42.95,D
-12.16438,136.37677,339.51,1.18,1.08,2021-10-28,0122,T,88,6.1NRT,309.74,30.34,D
-11.69711,133.07785,330.05,1.02,1.01,2021-10-28,0122,T,41,6.1NRT,307.12,11.18,D
-11.70471,133.07022,330.19,1.02,1.01,2021-10-28,0122,T,59,6.1NRT,304.18,12.28,D
-11.7061,133.0795,327.64,1.02,1.01,2021-10-28,0122,T,44,6.1NRT,305.21,8.04,D
-12.25198,136.4902,330.83,1.2,1.09,2021-10-28,0122,T,74,6.1NRT,307.6,17.75,D
-12.25498,136.51198,327.67,1.2,1.09,2021-10-28,0122,T,59,6.1NRT,306.72,13,D
-12.2565,136.52303,328.84,1.2,1.09,2021-10-28,0122,T,74,6.1NRT,306.5,15.18,D
-12.26026,136.47803,337.23,1.19,1.09,2021-10-28,0122,T,88,6.1NRT,305.98,28.49,D
-12.26629,136.52165,335.74,1.2,1.09,2021-10-28,0122,T,87,6.1NRT,306.58,28.18,D
-13.08376,143.01425,320.81,3.68,1.8,2021-10-28,0122,T,70,6.1NRT,299.55,59.59,D
-12.27981,136.47546,330.56,1.19,1.09,2021-10-28,0122,T,28,6.1NRT,306.16,16.43,D
-13.07549,143.01018,322.19,3.68,1.8,2021-10-28,0122,T,73,6.1NRT,300.86,68.44,D
-12.25238,135.37981,330.6,1.07,1.03,2021-10-28,0122,T,42,6.1NRT,310.21,8.77,D
-11.99736,133.54939,333.47,1,1,2021-10-28,0122,T,49,6.1NRT,304.86,15.24,D
-11.99871,133.55852,339.29,1,1,2021-10-28,0122,T,79,6.1NRT,307.21,24.11,D
-12.03106,133.59102,342.48,1,1,2021-10-28,0122,T,87,6.1NRT,310.49,30.77,D
-12.0324,133.60014,332.83,1,1,2021-10-28,0122,T,53,6.1NRT,308.39,15.94,D
-12.04004,133.58968,336.06,1,1,2021-10-28,0122,T,70,6.1NRT,310.21,18.94,D
-12.04138,133.5988,341.18,1,1,2021-10-28,0122,T,86,6.1NRT,307.39,27.26,D
-11.91824,132.6552,333.64,1.04,1.02,2021-10-28,0122,T,45,6.1NRT,301.54,20.74,D
-12.28962,134.60402,340.76,1.02,1.01,2021-10-28,0122,T,84,6.1NRT,310.38,28.25,D
-12.29097,134.61333,346.42,1.02,1.01,2021-10-28,0122,T,90,6.1NRT,311.05,38.87,D
-12.29862,134.60571,336.18,1.02,1.01,2021-10-28,0122,T,75,6.1NRT,311.45,19.39,D
-12.29995,134.61502,331.19,1.02,1.01,2021-10-28,0122,T,52,6.1NRT,309.93,12.2,D
-12.1523,133.16673,331.64,1.01,1.01,2021-10-28,0122,T,51,6.1NRT,306.58,14.86,D
-12.42001,135.00024,341.35,1.04,1.02,2021-10-28,0122,T,84,6.1NRT,312.54,28.53,D
-12.42137,135.00975,334.64,1.04,1.02,2021-10-28,0122,T,70,6.1NRT,310.29,17.31,D
-13.44011,142.68512,319.17,3.51,1.76,2021-10-28,0122,T,16,6.1NRT,298.89,45.28,D
-12.67495,136.44608,332.61,1.2,1.09,2021-10-28,0122,T,70,6.1NRT,305.4,24.91,D
-12.3535,132.60228,344,1.04,1.02,2021-10-28,0122,T,81,6.1NRT,300.22,34.46,D
-12.88124,136.15599,329.95,1.17,1.08,2021-10-28,0122,T,52,6.1NRT,306.03,17.49,D
-13.69623,142.31467,319.09,3.32,1.72,2021-10-28,0122,T,58,6.1NRT,300.46,33.96,D
-13.73576,142.24919,322.62,3.28,1.71,2021-10-28,0122,T,75,6.1NRT,299.46,55.67,D
-13.82757,143.05812,331.69,3.8,1.82,2021-10-28,0122,T,84,6.1NRT,298.3,142.18,D
-13.73197,142.24411,321.86,3.28,1.71,2021-10-28,0122,T,74,6.1NRT,299.52,51.49,D
-13.81777,143.05379,321.22,3.8,1.82,2021-10-28,0122,T,41,6.1NRT,300.28,59.33,D
-13.83416,143.05197,325.99,3.8,1.82,2021-10-28,0122,T,73,6.1NRT,296.53,91.88,D
-12.64351,132.94125,335.17,1.02,1.01,2021-10-28,0124,T,80,6.1NRT,308.94,14.11,D
-12.6449,132.95053,333.17,1.02,1.01,2021-10-28,0124,T,70,6.1NRT,309.21,11.2,D
-13.82235,141.95905,321.46,3.13,1.68,2021-10-28,0124,T,74,6.1NRT,299.09,50.07,D
-12.65255,132.93988,338.29,1.02,1.01,2021-10-28,0124,T,83,6.1NRT,308.74,18.88,D
-13.83746,141.95737,319.4,3.13,1.68,2021-10-28,0124,T,61,6.1NRT,298.72,36.55,D
-12.6616,132.93851,348.21,1.02,1.01,2021-10-28,0124,T,92,6.1NRT,307.92,36.95,D
-12.67064,132.93713,356.94,1.02,1.01,2021-10-28,0124,T,98,6.1NRT,308.22,56.58,D
-12.67202,132.94641,336.29,1.02,1.01,2021-10-28,0124,T,71,6.1NRT,308.11,13.72,D
-12.40228,131.03123,327.94,1.2,1.09,2021-10-28,0124,T,70,6.1NRT,300.79,17.43,D
-13.19945,136.1812,330.51,1.18,1.08,2021-10-28,0124,T,70,6.1NRT,307.99,16.67,D
-13.90781,141.91504,317.6,3.11,1.67,2021-10-28,0124,T,61,6.1NRT,298.95,28.98,D
-14.07414,142.84036,322.3,3.68,1.8,2021-10-28,0124,T,60,6.1NRT,299.67,60.55,D
-13.19054,135.76302,339.62,1.12,1.06,2021-10-28,0124,T,85,6.1NRT,310.46,26.93,D
-13.19199,135.77336,340.05,1.13,1.06,2021-10-28,0124,T,85,6.1NRT,309.27,28.83,D
-13.19702,135.77666,335.5,1.13,1.06,2021-10-28,0124,T,77,6.1NRT,309.18,22.55,D
-14.04298,142.04007,325.39,3.19,1.69,2021-10-28,0124,T,79,6.1NRT,298.97,70.58,D
-12.70077,131.79097,334.64,1.1,1.04,2021-10-28,0124,T,79,6.1NRT,299.88,23.3,D
-14.04024,142.03491,325.7,3.19,1.69,2021-10-28,0124,T,75,6.1NRT,298.95,71.83,D
-14.11647,142.02635,318.25,3.19,1.69,2021-10-28,0124,T,24,6.1NRT,300.43,30.56,D
-13.42729,134.32828,329.34,1.02,1.01,2021-10-28,0124,T,65,6.1NRT,311.13,8.5,D
-13.74036,135.05205,336.92,1.07,1.03,2021-10-28,0124,T,80,6.1NRT,309.38,24.74,D
-13.99112,136.68951,324.38,1.29,1.13,2021-10-28,0124,T,45,6.1NRT,304.5,12.41,D
-14.99642,143.70406,333.39,4.41,1.93,2021-10-28,0124,T,61,6.1NRT,295.27,194.94,D
-14.98436,143.74182,325.5,4.44,1.94,2021-10-28,0124,T,37,6.1NRT,297.15,114.26,D
-14.99775,143.69897,327.64,4.41,1.93,2021-10-28,0124,T,33,6.1NRT,295.21,132.21,D
-15.0368,143.73624,319.97,4.44,1.94,2021-10-28,0124,T,41,6.1NRT,295.35,68.52,D
-13.88345,134.17339,337.5,1.01,1.01,2021-10-28,0124,T,55,6.1NRT,311.45,15.51,D
-15.03753,143.72899,320.16,4.44,1.94,2021-10-28,0124,T,48,6.1NRT,295.44,71.25,D
-13.9026,134.11655,334.35,1.01,1.01,2021-10-28,0124,T,75,6.1NRT,311.53,9.03,D
-13.93271,134.19771,337.23,1.02,1.01,2021-10-28,0124,T,43,6.1NRT,312.96,15.35,D
-15.13768,143.84515,319.97,4.54,1.96,2021-10-28,0124,T,50,6.1NRT,295.93,70.37,D
-13.97649,134.11868,335.82,1.01,1.01,2021-10-28,0124,T,53,6.1NRT,309.51,14.58,D
-13.97783,134.12801,337.11,1.01,1.01,2021-10-28,0124,T,60,6.1NRT,308.92,15.46,D
-15.13793,143.84018,321.35,4.54,1.96,2021-10-28,0124,T,57,6.1NRT,296.12,84.76,D
-13.98548,133.86169,330.69,1.01,1,2021-10-28,0124,T,49,6.1NRT,309.08,8.47,D
-13.98682,133.87093,333.73,1.01,1,2021-10-28,0124,T,66,6.1NRT,309.55,12.58,D
